Study,Experiment,model,wta_accuracy
Deganoetal_2024,Exp_1,Llama-2-70b-hf,0.9583333333333334
Deganoetal_2024,Exp_3,Llama-2-70b-hf,0.9166666666666666
Deganoetal_2024,Exp_1,phi-2,0.8333333333333334
Deganoetal_2024,Exp_2,Llama-2-13b-hf,0.8333333333333334
Deganoetal_2024,Exp_2,Llama-2-70b-hf,0.8333333333333334
Deganoetal_2024,Exp_1,Llama-2-13b-hf,0.7916666666666666
Deganoetal_2024,Exp_2,phi-2,0.7916666666666666
Deganoetal_2024,Exp_3,Mixtral-8x7B-Instruct-v0.1,0.7916666666666666
Deganoetal_2024,Exp_3,text-davinci-003,0.7916666666666666
Deganoetal_2024,Exp_2,Mixtral-8x7B-Instruct-v0.1,0.75
Deganoetal_2024,Exp_3,Llama-2-13b-hf,0.75
Deganoetal_2024,Exp_1,Mixtral-8x7B-Instruct-v0.1,0.7083333333333334
Deganoetal_2024,Exp_1,text-davinci-003,0.7083333333333334
Deganoetal_2024,Exp_3,phi-2,0.7083333333333334
Deganoetal_2024,Exp_1,Llama-2-7b-hf,0.6666666666666666
Deganoetal_2024,Exp_1,Mistral-7B-Instruct-v0.2,0.6666666666666666
Deganoetal_2024,Exp_2,text-davinci-003,0.6666666666666666
Deganoetal_2024,Exp_3,pythia-12b,0.6666666666666666
Deganoetal_2024,Exp_1,pythia-12b,0.625
Deganoetal_2024,Exp_2,Llama-2-7b-hf,0.625
Deganoetal_2024,Exp_2,Mistral-7B-Instruct-v0.2,0.625
Deganoetal_2024,Exp_2,Mistral-7B-v0.1,0.625
Deganoetal_2024,Exp_3,falcon-7b,0.625
Deganoetal_2024,Exp_3,Mistral-7B-Instruct-v0.2,0.625
Deganoetal_2024,Exp_1,Mistral-7B-v0.1,0.5833333333333334
Deganoetal_2024,Exp_3,Llama-2-7b-hf,0.5833333333333334
Deganoetal_2024,Exp_2,pythia-6.9b,0.5641025641025641
Deganoetal_2024,Exp_1,Mixtral-8x7B-v0.1,0.5416666666666666
Deganoetal_2024,Exp_2,falcon-7b,0.5416666666666666
Deganoetal_2024,Exp_3,Mistral-7B-v0.1,0.5416666666666666
Deganoetal_2024,Exp_3,Mixtral-8x7B-v0.1,0.5416666666666666
Deganoetal_2024,Exp_1,Llama-2-13b-chat-hf,0.5
Deganoetal_2024,Exp_1,Llama-2-70b-chat-hf,0.5
Deganoetal_2024,Exp_1,Llama-2-7b-chat-hf,0.5
Deganoetal_2024,Exp_2,Llama-2-13b-chat-hf,0.5
Deganoetal_2024,Exp_2,Llama-2-70b-chat-hf,0.5
Deganoetal_2024,Exp_2,Llama-2-7b-chat-hf,0.5
Deganoetal_2024,Exp_2,Mixtral-8x7B-v0.1,0.5
Deganoetal_2024,Exp_2,pythia-12b,0.5
Deganoetal_2024,Exp_3,Llama-2-13b-chat-hf,0.5
Deganoetal_2024,Exp_3,Llama-2-70b-chat-hf,0.5
Deganoetal_2024,Exp_3,Llama-2-7b-chat-hf,0.5
Deganoetal_2024,Exp_3,pythia-2.8b,0.5
Deganoetal_2024,Exp_1,falcon-7b,0.4583333333333333
Deganoetal_2024,Exp_1,pythia-6.9b,0.4583333333333333
Deganoetal_2024,Exp_3,pythia-6.9b,0.4583333333333333
Deganoetal_2024,Exp_1,pythia-2.8b,0.4166666666666667
Deganoetal_2024,Exp_2,pythia-2.8b,0.4166666666666667
